Token,Token Name,Type,Volume,Change (%),Sales,Min Price (24h),Max Price (24H),Transfers,Owners,Total Assets
"0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D","BoredApeYachtClub","ERC-721","53.05 ETH","-33.33","3","13.05 ETH","24 ETH","272,886","5,322","10,000"
"0x32973908FaeE0Bf825A343000fE412ebE56F802A","Pixelmon","ERC-721","16.8678 ETH","-1.33","11","1.44 ETH","1.75 ETH","88,858","2,686","12,566"
"0x09233d553058c2F42ba751C87816a8E9FaE7Ef10","My Pet Hooligan","ERC-721","16.8171 ETH","-58.38","20","0.632 ETH","1.8 ETH","49,303","3,671","8,888"
"0x05327E6E27f251D2F2cfdbC37B9F289cf9f21529","Camper","ERC-721","16.3 ETH","130.77","5","1.3 ETH","6 ETH","20,985","1,604","8,888"
"0x3bf2922f4520a8BA0c2eFC3D2a1539678DaD5e9D","0N1 Force","ERC-721","12.4419 ETH","12.95","10","0.2791 ETH","6.6 ETH","82,795","3,717","7,777"
"0x60E4d786628Fea6478F785A6d7e704777c86a7c6","MutantApeYachtClub","ERC-721","11.7232 ETH","15.11","5","2.2 ETH","35 ETH","393,635","11,312","19,490"
"0xBd3531dA5CF5857e7CfAA92426877b022e612cf8","PudgyPenguins","ERC-721","10.33 ETH","0.00","1","10.33 ETH","10.33 ETH","141,838","4,547","8,888"
"0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B","CloneX","ERC-721","9.4301 ETH","-22.55","10","0.5008 ETH","4.44 ETH","175,965","9,517","19,593"
"0xED5AF388653567Af2F388E6224dC7C4b3241C544","Azuki","ERC-721","8.1353 ETH","-16.77","2","3.6953 ETH","4.44 ETH","206,235","4,141","10,000"
"0x5C1A0CC6DAdf4d0fB31425461df35Ba80fCBc110","Farm Land by Pixels","ERC-721","7.918 ETH","1.25","5","0.9514 ETH","1.99 ETH","36,403","1,997","5,000"
"0xaCF63E56fd08970b43401492a02F6F38B6635C91","Kanpai Pandas","ERC-721","7.4491 ETH","15.98","2","3.449 ETH","4.0001 ETH","51,228","3,010","0"
"0x5Af0D9827E0c53E4799BB226655A1de152A425a5","Milady","ERC-721","7.0643 ETH","16.34","2","3.2653 ETH","9.15 ETH","123,677","3,619","10,000"
"0x769272677faB02575E84945F03Eca517ACc544Cc","Captainz","ERC-721","7.01 ETH","0.00","1","7.01 ETH","7.01 ETH","57,794","3,869","9,999"
"0x059EDD72Cd353dF5106D2B9cC5ab83a52287aC3a","Art Blocks","ERC-721","6.19 ETH","0.00","1","4.5001 ETH","6.69 ETH","39,720","2,984","11,010"
"0xd774557b647330C91Bf44cfEAB205095f7E6c367","Nakamigos","ERC-721","5.4001 ETH","2430.00","12","0.0025 ETH","3.542 ETH","203,298","5,546","20,000"
